127.0.0.1 - - [25/Jun/2016:11:39:46 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:39:49 +0800] "GET /SalonManagement/ HTTP/1.1" 200 5914
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:39:49 +0800] "GET /SalonManagement/css/materialize.min.css HTTP/1.1" 200 148889
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:39:49 +0800] "GET /SalonManagement/css/materialize.css HTTP/1.1" 200 204542
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:39:49 +0800] "GET /SalonManagement/js/jquery-2.1.1.min.js HTTP/1.1" 200 84247
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:39:49 +0800] "GET /SalonManagement/css/mystyle.css HTTP/1.1" 200 3394
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:39:49 +0800] "GET /SalonManagement/js/materialize.min.js HTTP/1.1" 200 130570
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:39:49 +0800] "GET /SalonManagement/font/roboto/Roboto-Thin.eot? HTTP/1.1" 200 21659
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:39:49 +0800] "GET /SalonManagement/font/roboto/Roboto-Light.eot? HTTP/1.1" 200 20940
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:39:50 +0800] "GET /SalonManagement/font/roboto/Roboto-Regular.eot? HTTP/1.1" 200 21320
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:39:50 +0800] "GET /SalonManagement/font/roboto/Roboto-Medium.eot? HTTP/1.1" 200 21364
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:39:50 +0800] "GET /SalonManagement/font/roboto/Roboto-Bold.eot? HTTP/1.1" 200 20966
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:39:50 +0800] "GET /SalonManagement/img/login.jpg HTTP/1.1" 200 452792
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:39:56 +0800] "GET /SalonManagement/login?username=&pass= HTTP/1.1" 200 5914
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:05 +0800] "GET /SalonManagement/login?username=user&pass=user HTTP/1.1" 200 5914
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:09 +0800] "GET /SalonManagement/login?username=&pass= HTTP/1.1" 200 5914
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:18 +0800] "GET /SalonManagement/login?username=admin&pass=admin HTTP/1.1" 200 17997
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:18 +0800] "GET /SalonManagement/css/admin.css HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:18 +0800] "GET /SalonManagement/css/drag.css HTTP/1.1" 200 36435
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:18 +0800] "GET /SalonManagement/css/animate.css HTTP/1.1" 200 75599
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:18 +0800] "GET /SalonManagement/js/drag.js HTTP/1.1" 200 487212
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:18 +0800] "GET /SalonManagement/img/logo.png HTTP/1.1" 200 51603
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:18 +0800] "GET /SalonManagement/css/MaterialIcons-Regular.woff HTTP/1.1" 200 56792
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:19 +0800] "GET /SalonManagement/css/images/ui-bg_flat_75_ffffff_40x100.png HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:28 +0800] "GET /SalonManagement/login?username=admin&pass=admin HTTP/1.1" 200 17997
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:29 +0800] "GET /SalonManagement/css/materialize.css HTTP/1.1" 200 204542
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:29 +0800] "GET /SalonManagement/css/admin.css HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:29 +0800] "GET /SalonManagement/css/animate.css HTTP/1.1" 200 75599
